"CNPJ ENTIDADE";"NOME ENTIDADE";"NÚMERO CONVÊNIO";"ÓRGÃO CONCEDENTE";"MOTIVO DO IMPEDIMENTO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"629760";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732636";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"623787";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"736114";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"598155";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"704161";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703484";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"86908704000182";"ASSOCIACAO DOS PEQ PROD RURAIS DO BARREIRO";"552364";"Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto";"ATRASO NA ENTREGA DA PRESTACAO DE CONTAS"
"03659216000151";"ASSOCIACAO CULTURAL, ESPORTIVA E SOCIAL DA NOVA CAPITAL";"585749";"Ministério do Esporte - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"67996777000129";"SOS ADOLESCENTE";"571809";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"02677573000180";"FEDERACAO DAS ASSOCIACOES DE PRODUTORES RURAIS DO D F";"302036";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
"59388447000122";"FUNDACAO JOSE E PAULINA NEMIROVSKY";"746675";"Ministério da Cultura - Unidades com vínculo direto";"ATRASO NA ENTREGA DA PRESTACAO DE CONTAS"
"05871805000124";"ASSOCIACAO DOS GRUPOS TEATRAIS DO VALE DO JEQUITINHONHA";"588688";"Ministério da Cultura - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"04351940000186";"CENTRO INTEGRADO DE APOIO PROFISSIONAL";"547529";"Ministério da Saúde - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"06154729000107";"ONG FONTE (FRENTE ORGANIZADA PARA TEMATICA ETNICA)";"594580";"Ministério do Turismo - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"03198788000180";"COMUNIDADE RURAL DE TAMATATEUA";"517001";"Ministério do Meio Ambiente e Mudança do Clima - Unidades com vínculo direto";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"27503754000110";"FUNDACAO HOSPITALAR SOCIAL RURAL DE SAO GABRIEL";"822051";"Ministério da Saúde - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"27503754000110";"FUNDACAO HOSPITALAR SOCIAL RURAL DE SAO GABRIEL";"791960";"Ministério da Saúde - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"27503754000110";"FUNDACAO HOSPITALAR SOCIAL RURAL DE SAO GABRIEL";"822134";"Ministério da Saúde - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"04340798000171";"INSTITUTO DE DESENVOLVIMENTO DA CRIANCA E DO ADOLECENTE";"726146";"Ministério do Esporte - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"12183760000160";"LAR SAO DOMINGOS";"601065";"Ministério do Trabalho e Emprego - Unidades com vínculo direto";"DESVIOU A FINALIDADE DO OBJETO"
"13241815000104";"CENTRAL NACIONAL DOS PRODUTORRES DE CACAU";"301747";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"TEVE A PRESTACAO DE CONTAS IMPUGNADA"
"06003967000103";"INSTITUTO CIDADANIA DO NORDESTE - ICN";"539407";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"APRESENTOU P.C. PARCIAL E/OU FINAL"
"06003967000103";"INSTITUTO CIDADANIA DO NORDESTE - ICN";"634585";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO"
"06003967000103";"INSTITUTO CIDADANIA DO NORDESTE - ICN";"652683";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"06003967000103";"INSTITUTO CIDADANIA DO NORDESTE - ICN";"751127";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"ESTA INSCRITO NO CADIN DO BACEN"
"06003967000103";"INSTITUTO CIDADANIA DO NORDESTE - ICN";"605507";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO"
"30500995000110";"FENAGTUR-FEDERACAO NACIONAL DE GUIAS DE TURISMO";"732116";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"88314133000183";"ASSOCIACAO BENEFICENTE DE CANOAS";"816065";"Ministério da Saúde - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"88314133000183";"ASSOCIACAO BENEFICENTE DE CANOAS";"811442";"Ministério da Saúde - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"02059774000113";"COOPERATIVA DE PROFISSIONAIS LIBERAIS DO VALE ARAGUAIA";"636889";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"04226410000106";"ALTERNATIVA SOCIAL";"507304";"Ministério da Saúde - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"95787818000102";"ASSOCIACAO DOS MORADORES DE NOVA BRASILIA AMNB";"534610";"Ministério da Pesca e Aquicultura - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"04853512000151";"AGENCIA NACIONAL DE COMERCIALIZACAO - ARCO BR";"507846";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"04853512000151";"AGENCIA NACIONAL DE COMERCIALIZACAO - ARCO BR";"481027";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"39615265000130";"ASSOC. DE MULHERES TRABALHADORAS RURAIS DO ESP. SANTO";"600947";"Ministério das Mulheres - Unidades com vínculo direto";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"40818841000125";"INSTITUTO DE PESQUISAS SOCIAIS APLICADAS";"564102";"Ministério do Turismo - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"40818841000125";"INSTITUTO DE PESQUISAS SOCIAIS APLICADAS";"564139";"Ministério do Turismo - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"40818841000125";"INSTITUTO DE PESQUISAS SOCIAIS APLICADAS";"569284";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"40818841000125";"INSTITUTO DE PESQUISAS SOCIAIS APLICADAS";"524929";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"78635752000116";"FUNDACAO DO ENSINO TECNICO DE LONDRINA";"600205";"Ministério do Trabalho e Emprego - Unidades com vínculo direto";"TEVE A PRESTACAO DE CONTAS IMPUGNADA"
"03446745000177";"SOCIEDADE DE APOIO A PROJETOS DE EDUCACAO CULTURA E CIDADANIA-SAPECCAS";"559410";"Ministério das Mulheres - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"03446745000177";"SOCIEDADE DE APOIO A PROJETOS DE EDUCACAO CULTURA E CIDADANIA-SAPECCAS";"554587";"Ministério da Cultura - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"03446745000177";"SOCIEDADE DE APOIO A PROJETOS DE EDUCACAO CULTURA E CIDADANIA-SAPECCAS";"591953";"Ministério das Mulheres - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"03446745000177";"SOCIEDADE DE APOIO A PROJETOS DE EDUCACAO CULTURA E CIDADANIA-SAPECCAS";"601629";"Ministério das Mulheres - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"03767674000104";"MARACATU DE BAQUE SOUTO LEAO FORMOSO DE TRACUNHAEM";"554226";"Ministério da Cultura - Unidades com vínculo direto";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"04253861000132";"ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DO PROJETO DE ASSENTAMENTO SERRA DO CAPIM - APPRPASECA - FLORESTA - PE";"478607";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"12659546000138";"CENTRO DE EVANGELIZACAO E DESENVOVIMENTO COMUNITARIO MONSENHOR JOSE KEHRLE";"535398";"Ministério do Meio Ambiente e Mudança do Clima - Unidades com vínculo direto";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"706010";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"632148";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703782";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703497";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732004";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732314";"Ministério do Turismo - Unidades com vínculo direto";"INSCRICAO POR DECISAO DO T.C.U."
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703216";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"702871";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"625046";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"630492";"Ministério do Turismo - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703311";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703495";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"704042";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703747";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703165";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"628021";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732638";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"734947";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703816";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732318";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732166";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"727015";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"742106";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"624906";"Ministério do Turismo - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"732402";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"32884108000180";"ASSOCIACAO SERGIPANA DE BLOCOS DE TRIO";"703498";"Ministério do Turismo - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"73351330000103";"QUILOMBHOJE LITERATURA";"564838";"Ministério da Cultura - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"04978642000110";"ASSOCIACAO COMUNITARIA VOVO GERALDO";"574822";"Ministério da Igualdade Racial - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"02003386000110";"ASSOCIACAO ESTADUAL DE COOPERACAO AGRICOLA DO PIAUI";"516632";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"03650354000170";"CANTO JOVEM";"589696";"Ministério da Cultura - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"02543266000106";"COOPERATIVA DE TRABALHO MULTIDISCIPLINAR POTIGUAR";"538253";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"02543266000106";"COOPERATIVA DE TRABALHO MULTIDISCIPLINAR POTIGUAR";"706754";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO"
"00774961000153";"CENTRO DE CULTURA POPULAR VIVA ARTE";"522556";"Ministério do Turismo - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"00774961000153";"CENTRO DE CULTURA POPULAR VIVA ARTE";"522619";"Ministério da Cultura - Unidades com vínculo direto";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"00774961000153";"CENTRO DE CULTURA POPULAR VIVA ARTE";"524930";"Ministério do Turismo - Unidades com vínculo direto";"ATRASO NA ENTREGA DA PRESTACAO DE CONTAS"
"00774961000153";"CENTRO DE CULTURA POPULAR VIVA ARTE";"521738";"Ministério do Turismo - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"40986440000184";"GRUPO HABEAS CORPUS POTIGUAR";"532192";"Ministério da Educação - Unidades com vínculo direto";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"05491500000197";"ORGANIZACAO DA EDUCACAO INDIGENA XACRIABA";"575617";"Ministério da Educação - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"07875818000105";"CETREDE - CENTRO DE TREINAMENTO E DESENVOLVIMENTO";"403974";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"ATRASO NA DEVOLUCAO DE RECURSOS"
"87964714000106";"SOCIEDADE BENEFICIENTE CULTURAL E RECREATIVA IMPERATRIZ DONA LEOPOLDINA";"620769";"Ministério do Turismo - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"87964714000106";"SOCIEDADE BENEFICIENTE CULTURAL E RECREATIVA IMPERATRIZ DONA LEOPOLDINA";"651586";"Ministério da Saúde - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"87964714000106";"SOCIEDADE BENEFICIENTE CULTURAL E RECREATIVA IMPERATRIZ DONA LEOPOLDINA";"580902";"Ministério do Esporte - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"06322676000188";"ASSOCIACAO CULTURAL SAO SARUE";"749329";"Ministério da Cultura - Unidades com vínculo direto";"MOTIVO NÃO ESPECIFICADO"
"07516035000127";"INSTITUTO CULTURAL CINEMA BRASIL";"555424";"Ministério da Cultura - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"03015592000103";"ASSOCIACAO MOVIMENTO NACIONAL DOS PESCADORES - MONAPE";"484193";"Ministério do Meio Ambiente e Mudança do Clima - Unidades com vínculo direto";"NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO"
"00929006000148";"AOPA - ASSOCIACAO PARA O DESENVOLVIMENTO DA AGROECOLOGIA";"466491";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"00929006000148";"AOPA - ASSOCIACAO PARA O DESENVOLVIMENTO DA AGROECOLOGIA";"491330";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"03835427000106";"ASSOCIACAO DE PRODUCAO E COMERCIALIZACAO DOS TRABALHADORES R";"480971";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"03835427000106";"ASSOCIACAO DE PRODUCAO E COMERCIALIZACAO DOS TRABALHADORES R";"505773";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"03835427000106";"ASSOCIACAO DE PRODUCAO E COMERCIALIZACAO DOS TRABALHADORES R";"510522";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"03835427000106";"ASSOCIACAO DE PRODUCAO E COMERCIALIZACAO DOS TRABALHADORES R";"493809";"Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
